CFSAUID,AvgPrice
M3J,456304
M3H,927267
M4G,2025132
M3K,753540
M4J,468145
M4H,191300
M1B,468096
M1E,622472
M1G,484656
M1J,543458
M1W,490748
M1X,128103
M2H,719376
M1C,916184
M1H,466514
M3L,477006
M4K,1262235
M3M,758418
M4L,1108124
M4M,767821
M1K,525822
M2J,481890
M2K,642606
M2M,1046466
M2L,5027949
M1L,750893
M1N,866380
M1M,1057874
M4N,2694805
M4P,894557
M4R,681392
M4S,673346
M3N,376621
M4T,3663650
M4A,529100
M6S,653440
M6R,1384788
M8V,581005
M4C,585850
M4B,732021
M5S,739740
M4E,951759
M5T,544656
M5V,487331
M6A,535771
M6B,800290
M8W,908803
M8X,1227282
M8Y,580331
M4V,1041136
M4W,1596736
M6C,686927
M4X,997870
M6E,860008
M6G,1467046
M4Y,556125
M8Z,803696
M9A,1705006
M9B,684545
M9C,433801
M9L,616367
M5A,787883
M5B,535896
M5E,708864
M5C,545152
M5G,540686
M6H,785053
M6J,806470
M6K,488855
M5H,568796
M6L,880040
M5J,561429
M9M,466026
M9N,602682
M9P,666029
M5M,1884007
M6M,544006
M5N,2411141
M6N,588127
M6P,979306
M5P,2099268
M5R,1331090
M9V,464647
M9R,472381
M9W,484367
M1P,411231
M1R,724702
M2N,681887
M2P,3036432
M2R,860495
M1S,484400
M3A,556783
M1T,497423
M1V,490010
M3B,2089822
M3C,1871757
